"id";"token";"customer_id";"title";"description";"status";"priority";"assigned_support_agent_id";"assigned_technician_id";"created_at";"updated_at";"type";"product_id";"service_id";"price";"score"
17;"SdH4ePXYEkGOW6bZ";4;"קצר חשמלי לאחר התקנת המערכת";"מאז ההתקנה החדשה החשמל קופץ בכל הפעלה של המכשיר. הקריאה דחופה ונדרשת בדיקת בטיחות מיידית.";"in_progress";"urgent";0;0;"2026-06-25 00:47:35";"2026-06-25 00:47:35";0;0;0;"";40
18;"l1jR05dFaEFLa4IK";5;"מערכת האזעקה מתנתקת מהרשת";"המערכת מאבדת חיבור מספר פעמים ביום ואינה שולחת התראות לאפליקציה. הטכנאי בודק את יחידת התקשורת.";"in_progress";"high";0;4;"2026-06-28 01:39:54";"2026-06-28 01:39:54";0;1;1;"";40
19;"IHOvQfFZYTBwFifT";1;"ניתוקים תכופים בחיבור לאינטרנט";"הטכנאי החליף את הנתב, עדכן את ההגדרות וביצע בדיקת יציבות. הטיפול הטכני הסתיים וממתין לאישור סופי.";"technician_completed";"high";1;4;"2026-06-28 10:23:13";"2026-06-28 10:23:13";0;1;0;"";0
20;"KlkQcANLrTNF79Pg";2;"בקשה להתקנת ציוד חדש במשרד";"הלקוח הזמין ציוד חדש ומבקש לתאם התקנה, חיבור לרשת והדרכה בסיסית לעובדים.";"open";"mid";1;1;"2026-06-28 10:23:13";"2026-06-28 10:23:13";0;2;1;"";50
21;"ywWD1BVq2ZpmuF0J";3;"המוצר הפסיק לפעול לאחר עדכון תוכנה";"מיד לאחר התקנת העדכון האחרון המערכת אינה עולה ומציגה הודעת שגיאה. מתבצעת בדיקה ושחזור גרסה.";"in_progress";"urgent";2;1;"2026-06-28 10:23:13";"2026-06-28 10:23:13";0;3;0;"";40
22;"Clv4NAQtwCbJrQWy";4;"בירור זכאות לתיקון במסגרת האחריות";"נשלחה ללקוח בקשה לצרף חשבונית רכישה ותמונה של המספר הסידורי כדי לבדוק את תוקף האחריות.";"waiting_customer";"low";2;0;"2026-06-28 10:23:13";"2026-06-28 10:23:13";0;2;0;"";10
23;"AfDx1nb884GJYtLy";5;"תיאום טיפול תחזוקה תקופתי";"נדרש ניקוי, בדיקת רכיבים והחלפת מסננים במסגרת התחזוקה השנתית. הלקוח מעדיף ביקור בשעות הבוקר.";"open";"mid";1;2;"2026-06-28 10:23:13";"2026-06-28 10:23:13";0;1;2;"";50
24;"BLfj7Cew9czOyFfA";6;"סכום שגוי בחשבונית השירות";"הסכום בחשבונית גבוה מהמחיר שסוכם לפני הביקור. הלקוח מבקש פירוט חיובים ותיקון החשבונית.";"open";"high";2;0;"2026-06-28 10:23:13";"2026-06-28 10:23:13";0;0;3;"";50
25;"0LL0md8bhBEMWH9i";7;"השבתה מלאה של המערכת באתר הלקוח";"המערכת אינה פועלת כלל והעבודה באתר נעצרה. נדרשת תגובה דחופה ושיבוץ טכנאי בהקדם האפשרי.";"new";"urgent";0;0;"2026-06-28 10:23:13";"2026-06-28 10:23:13";0;4;0;"";55
26;"Rcqjj1qjAWVMgpQz";8;"תלונה על זמן המתנה ממושך למענה";"הלקוח המתין מספר ימים לעדכון בנוגע לקריאה קודמת ומבקש שמנהל השירות יחזור אליו.";"open";"mid";1;0;"2026-06-28 10:23:13";"2026-06-28 10:23:13";0;0;0;"";50
27;"agPMFZBiLje1eq9z";9;"בקשה לשדרוג חבילת השירות";"הלקוח מעוניין להוסיף תמיכה מורחבת וביקורי תחזוקה. נשלחו אליו האפשרויות וממתינים לבחירתו.";"waiting_customer";"low";2;0;"2026-06-28 10:23:13";"2026-06-28 10:23:13";0;5;4;"";10
28;"kZcLy874JMGmhqbS";10;"תקלה ממתינה לשיבוץ טכנאי";"התקלה אומתה על ידי התמיכה, אך טרם נמצא טכנאי זמין באזור. יש לתאם ביקור ולעדכן את הלקוח.";"waiting_technician";"high";1;0;"2026-06-28 10:23:13";"2026-06-28 10:23:13";0;3;0;"";70
34;"5f2giEmixSVRZHuR";1;"לא ניתן להתחבר לפורטל הלקוחות";"הלקוח מקבל הודעת שגיאה גם לאחר איפוס סיסמה וניסיון מדפדפן אחר. נדרשת בדיקת הרשאות בחשבון.";"new";"high";0;0;"2026-06-28 10:29:51";"2026-06-28 10:29:51";0;0;0;"";55
35;"CLhqqr3K5Neytxdf";2;"רעש חריג מהמכשיר בזמן עבודה";"המכשיר משמיע רעש מתכתי בזמן הפעלה, אך ממשיך לעבוד. הלקוח מבקש בדיקה לפני שייגרם נזק נוסף.";"open";"mid";1;0;"2026-06-28 10:29:51";"2026-06-28 10:29:51";0;1;0;"";50
36;"wBh3OrvEiqQ6SI3Q";3;"בקשה לשינוי מועד ההתקנה";"הלקוח אינו זמין במועד שנקבע ומבקש להעביר את ההתקנה ליום אחר. ממתינים לאישור המועד החלופי.";"waiting_customer";"low";2;0;"2026-06-28 10:29:51";"2026-06-28 10:29:51";0;2;1;"";10
37;"Knd5znjDJCL7ZrxV";4;"בקשת פירוט על חבילת השירות";"הלקוח מבקש לדעת אילו ביקורים, חלקי חילוף וזמני תגובה כלולים בתשלום החודשי.";"open";"low";1;0;"2026-06-28 10:29:51";"2026-06-28 10:29:51";0;0;2;"";50
38;"hax0auN2VVACEwAQ";5;"נדרש חלק חלופי למכשיר";"בבדיקת הטכנאי נמצא רכיב שבור שיש להחליף. נבדקת זמינות החלק והאם ההחלפה מכוסה באחריות.";"in_progress";"high";2;1;"2026-06-28 10:29:51";"2026-06-28 10:29:51";0;3;0;"";40
39;"FnIAymf8jvjuyzZL";6;"המערכת איטית בשעות העומס";"בשעות הצהריים זמני הטעינה מתארכים ופעולות נשמרות באיחור. נדרשת בדיקת ביצועים ועומסים.";"open";"mid";1;0;"2026-06-28 10:29:51";"2026-06-28 10:29:51";0;4;0;"";50
40;"IqQ3mMhkofzwJk6I";7;"בקשה להצעת מחיר לביקור תחזוקה";"הלקוח מבקש הצעת מחיר לטיפול חד-פעמי הכולל ניקוי, בדיקה כללית והחלפת מסננים במידת הצורך.";"new";"low";0;0;"2026-06-28 10:29:51";"2026-06-28 10:29:51";0;1;3;"";55
41;"TNgsISytWu2d2BZZ";8;"איחור בהגעת הטכנאי";"הטכנאי טרם הגיע בחלון הזמן שנקבע והלקוח מבקש עדכון מיידי לגבי זמן ההגעה החדש.";"in_progress";"high";2;2;"2026-06-28 10:29:51";"2026-07-08 15:53:59";0;0;0;"";40
42;"s92Nj3R9TEToaT9S";9;"בדיקת תאימות לפני שדרוג";"הלקוח מעוניין לשדרג את השירות ורוצה לוודא שהציוד הקיים תומך בגרסה החדשה ללא החלפת חומרה.";"open";"mid";1;0;"2026-06-28 10:29:51";"2026-06-28 10:29:51";0;5;4;"";50
43;"KSMqNWwnQ76OLXg2";10;"הפסקת שירות מלאה ודחופה";"הלקוח מדווח שכל עמדות העבודה מנותקות מהשירות. נדרשת בדיקה מיידית כדי להחזיר את הפעילות.";"new";"urgent";0;0;"2026-06-28 10:29:51";"2026-06-28 10:29:51";0;2;0;"";55
44;"OpzoBaiLQKtPEp4J";11;"שינוי לא מוסבר בחשבונית לאחר שדרוג";"לאחר מעבר לחבילה חדשה סכום החשבונית עלה מעבר למחיר שסוכם. הלקוח מבקש הסבר ותיקון.";"open";"mid";2;0;"2026-06-28 10:29:51";"2026-06-28 10:29:51";0;0;4;"";50
45;"NBAGcMsbphPuX0ld";12;"התקלה חזרה לאחר ביקור טכנאי";"לאחר שיפור זמני הבעיה הופיעה מחדש. הטכנאי בודק את הרכיב שהוחלף ואת הגורם לתקלה החוזרת.";"in_progress";"high";1;1;"2026-06-28 10:29:51";"2026-06-28 10:29:51";0;3;0;"";40
49;"bOSh5loSYnqaLbEN";5;"כיריים חדשות הגיעו פגומות";"בעת פתיחת האריזה נמצאו שבר בזכוכית וסימני פגיעה במסגרת. הכיריים לא חוברו לחשמל והלקוח מבקש החלפה.";"new";"mid";0;0;"2026-06-29 22:43:47";"2026-06-29 22:43:47";0;9;0;"";55
50;"SDyF7aJk232YkFjl";5;"שקע חכם אינו מתחבר לרשת";"השקע נדלק אך לא מצליח להתחבר לרשת האלחוטית דרך האפליקציה. איפוס המכשיר לא פתר את הבעיה.";"new";"mid";0;0;"2026-07-07 18:19:06";"2026-07-07 18:19:06";0;0;0;"";55
51;"a8P51DEFSY06SSeS";4;"החלפת מסנן במטהר המים הושלמה";"בוצעה החלפת מסנן, שטיפת המערכת ובדיקת נזילות. איכות הזרימה תקינה והטיפול הסתיים.";"closed";"mid";0;0;"2026-07-07 18:30:24";"2026-07-07 18:30:24";0;0;0;"";55
52;"cr2YhHTo8OAW06MM";6;"תיקון נזילה במכונת הקפה הושלם";"הוחלף אטם פגום בצינור הפנימי ובוצעה בדיקת הפעלה. לא נמצאה נזילה נוספת והקריאה נסגרה.";"closed";"mid";0;0;"2026-07-07 22:58:25";"2026-07-08 08:18:56";0;0;0;"";50
53;"vH8Ipaku7xGGeBzd";6;"השלט של המזגן אינו מגיב";"המזגן פועל מהכפתור שעל היחידה אך אינו מגיב לשלט, גם לאחר החלפת סוללות וניסיון איפוס.";"open";"mid";0;0;"2026-07-07 23:41:48";"2026-07-07 23:41:48";0;0;0;"";50
54;"Kdxw8nQRyASeE47t";16;"מדיח הכלים משאיר כלים מלוכלכים";"בסיום התוכנית נשארים שאריות מזון על הכלים והטבליה אינה נמסה לחלוטין. נדרשת בדיקת זרועות ההתזה.";"new";"mid";0;0;"2026-07-12 16:13:52";"2026-07-12 16:13:52";0;0;0;"";55
55;"tgGIkppo1aMARi2i";16;"המקרר משמיע רעש חזק בלילה";"בשעות הלילה נשמע זמזום חזק מאזור המדחס. הטמפרטורה נשמרת אך הרעש הולך ומתגבר.";"open";"mid";0;0;"2026-07-12 16:15:30";"2026-07-13 14:40:59";0;0;0;"";50
56;"0kk2FEenvC6PIGWz";16;"חשבון המשתמש ננעל שוב ושוב";"המשתמש מצליח לאפס את הסיסמה אך החשבון ננעל מחדש לאחר ניסיון התחברות אחד. נדרשת בדיקת אבטחה והרשאות.";"open";"mid";0;0;"2026-07-12 16:15:50";"2026-07-13 14:21:57";0;0;0;"";50
57;"7D37EC2bwU9YWKTK";16;"בקשה להעברת נקודת השירות לחדר אחר";"הלקוח מבקש להעביר את הציוד והחיבור לחדר סמוך בעקבות שינוי במבנה המשרד. נדרש תיאום והערכת עבודה.";"new";"mid";0;0;"2026-07-12 16:18:33";"2026-07-12 16:18:33";0;0;0;"";55
58;"hqwRTohfur2hRexN";4;"מכונת הכביסה נעצרת באמצע התוכנית";"המכונה מתחילה לפעול אך נעצרת לפני שלב הסחיטה ומציגה שגיאה. הטכנאי שובץ לבדיקת המשאבה והניקוז.";"open";"mid";0;3;"2026-07-13 19:51:16";"2026-07-14 01:41:58";0;0;0;"";50
